"Source:","/home/scott/Documents/Projects/dev/git/971-electrical/circuit-boards/connector_boards/encoder_adapter/encoder_adapter.kicad_sch"
"Date:","Sun 21 Jan 2024 09:21:34 AM PST"
"Tool:","Eeschema 7.0.10-7.0.10~ubuntu22.04.1"
"Generator:","/usr/share/kicad/plugins/bom_csv_grouped_by_value.py"
"Component Count:","3"

"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","DNP","DIST","DIST P/N","MFG","MFG P/N"
"1","1","D1","LED","Device:LED","LED_SMD:LED_1206_3216Metric","~","","Digikey","1080-1419-1-ND","Everlight Electronics Co Ltd","QTLP650D4TR"
"2","1","J1","Encoder","Connector:Conn_01x05_Male","encoder_adapter:MOLEX_0705410074","~","","Digikey","WM20416-ND","Molex","0705410074"
"3","1","R1","1k 1% 0805","Device:R","Resistor_SMD:R_0805_2012Metric","~","","Digikey","311-1.00KCRCT-ND","YAGEO","RC0805FR-071KL"
